ENCODEURL|dZjWi|SC_OPCODE_ENCODEURL|Return a URL-encoded string.|avFqs|HID_FUNC_ENCODEURL||
IMSEC|p2cPB|ANALYSIS_FUNCNAME_Imsec|Returns the secant of a complex number|X6woF|ANALYSIS_Imsec||
IMTAN|kMNhg|ANALYSIS_FUNCNAME_Imtan|Returns the tangent of a complex number|YZ9Pk|ANALYSIS_Imtan||
IMSQRT|on4GJ|ANALYSIS_FUNCNAME_Imsqrt|Returns the square root of a complex number|xkwz7|ANALYSIS_Imsqrt||
IMSUM|5dggL|ANALYSIS_FUNCNAME_Imsum|Returns the sum of complex numbers|uSe75|ANALYSIS_Imsum||
IMSUB|WSpWr|ANALYSIS_FUNCNAME_Imsub|Returns the difference of two complex numbers|pCwcH|ANALYSIS_Imsub||
IMSIN|ChCKv|ANALYSIS_FUNCNAME_Imsin|Returns the sine of a complex number|QPDkx|ANALYSIS_Imsin||
IMREAL|XxrtP|ANALYSIS_FUNCNAME_Imreal|Returns the real coefficient of a complex number|rQyiX|ANALYSIS_Imreal||
IMPRODUCT|KcP8D|ANALYSIS_FUNCNAME_Improduct|Returns the product of several complex numbers|5VA5w|ANALYSIS_Improduct||
IMLOG2|GABGC|ANALYSIS_FUNCNAME_Imlog2|Returns the base-2 logarithm of a complex number|EXBBs|ANALYSIS_Imlog2||
IMLOG10|MNkNW|ANALYSIS_FUNCNAME_Imlog10|Returns the base-10 logarithm of a complex number|FUpg6|ANALYSIS_Imlog10||
IMLN|Sc6mT|ANALYSIS_FUNCNAME_Imln|Returns the natural logarithm of a complex number|nW87F|ANALYSIS_Imln||
IMCONJUGATE|iqoX7|ANALYSIS_FUNCNAME_Imconjugate|Returns the complex conjugate of a complex number|6NpYd|ANALYSIS_Imconjugate||
IMEXP|WAfnR|ANALYSIS_FUNCNAME_Imexp|Returns the algebraic form of the exponential of a complex number|bwWr4|ANALYSIS_Imexp||
IMDIV|RhiUy|ANALYSIS_FUNCNAME_Imdiv|Returns the quotient of two complex numbers|mSsaT|ANALYSIS_Imdiv||
IMCOS|QBnyT|ANALYSIS_FUNCNAME_Imcos|Returns the cosine of a complex number|9BMRu|ANALYSIS_Imcos||
IMARGUMENT|J8V8z|ANALYSIS_FUNCNAME_Imargument|Returns the argument theta, an angle expressed in radians|sgsXU|ANALYSIS_Imargument||
IMPOWER|GGQs6|ANALYSIS_FUNCNAME_Impower|Returns a complex number raised to a real power|66PGj|ANALYSIS_Impower||
IMAGINARY|QYDVB|ANALYSIS_FUNCNAME_Imaginary|Returns the imaginary coefficient of a complex number|dsEFU|ANALYSIS_Imaginary||
IMABS|FBn6B|ANALYSIS_FUNCNAME_Imabs|Returns the absolute value (modulus) of a complex number|Kv6Gh|ANALYSIS_Imabs||
HEX2OCT|jfDsA|ANALYSIS_FUNCNAME_Hex2Oct|Converts a hexadecimal number to an octal number|CGBvb|ANALYSIS_Hex2Oct||
HEX2DEC|kNsKk|ANALYSIS_FUNCNAME_Hex2Dec|Converts a hexadecimal number to a decimal number|GBDrZ|ANALYSIS_Hex2Dec||
HEX2BIN|B2YNX|ANALYSIS_FUNCNAME_Hex2Bin|Converts a hexadecimal number to a binary number|sC97t|ANALYSIS_Hex2Bin||
GESTEP|YAJQK|ANALYSIS_FUNCNAME_Gestep|Tests whether a number is greater than a threshold value|DBz3C|ANALYSIS_Gestep||
ERFC|7CPZS|ANALYSIS_FUNCNAME_Erfc|Returns the complementary error function|Wgmmu|ANALYSIS_Erfc||
ERF|WFFDC|ANALYSIS_FUNCNAME_Erf|Returns the error function|L672d|ANALYSIS_Erf||
DEC2OCT|dnxfS|ANALYSIS_FUNCNAME_Dec2Oct|Converts a decimal number into an octal number|JVcUH|ANALYSIS_Dec2Oct||
DEC2HEX|bpBJG|ANALYSIS_FUNCNAME_Dec2Hex|Converts a decimal number to a hexadecimal number|LDwCT|ANALYSIS_Dec2Hex||
DEC2BIN|AJC9F|ANALYSIS_FUNCNAME_Dec2Bin|Converts a decimal number to a binary number|gtNKg|ANALYSIS_Dec2Bin||
DELTA|PHzDg|ANALYSIS_FUNCNAME_Delta|Tests whether two values are equal|vXJmG|ANALYSIS_Delta||
BIN2OCT|3tbwu|ANALYSIS_FUNCNAME_Bin2Oct|Converts a binary number to an octal number|sYWZ4|ANALYSIS_Bin2Oct||
BIN2HEX|zrP9E|ANALYSIS_FUNCNAME_Bin2Hex|Converts a binary number to a hexadecimal number|WLAuB|ANALYSIS_Bin2Hex||
BIN2DEC|2C4PK|ANALYSIS_FUNCNAME_Bin2Dec|Converts a binary number to a decimal number|HMzjE|ANALYSIS_Bin2Dec||
BESSELY|NQCGW|ANALYSIS_FUNCNAME_Bessely|Returns the Bessel function Yn(x)|zxDiU|ANALYSIS_Bessely||
BESSELK|Frcpi|ANALYSIS_FUNCNAME_Besselk|Returns the Bessel function Kn(x)|KBFDb|ANALYSIS_Besselk||
BESSELJ|oyZnL|ANALYSIS_FUNCNAME_Besselj|Returns the Bessel function Jn(x)|aoFgN|ANALYSIS_Besselj||
BESSELI|EFSFy|ANALYSIS_FUNCNAME_Besseli|Returns the modified Bessel function In(x)|hQFoN|ANALYSIS_Besseli||
RANDBETWEEN|MM79F|ANALYSIS_FUNCNAME_Randbetween|Returns a random integer between the numbers you specify|mFwk5|ANALYSIS_Randbetween||
SQRTPI|pzJ2T|ANALYSIS_FUNCNAME_Sqrtpi|Returns the square root of a number which has been multiplied by pi|ECLDw|ANALYSIS_Sqrtpi||
MROUND|kkrhF|ANALYSIS_FUNCNAME_Mround|Returns a number rounded to a specified multiple|FXVBd|ANALYSIS_Mround||
QUOTIENT|MKPGe|ANALYSIS_FUNCNAME_Quotient|Returns the integer portion of a division|ksJ6q|ANALYSIS_Quotient||
SERIESSUM|e9f3r|ANALYSIS_FUNCNAME_Seriessum|Returns the sum of a power series|LYRJS|ANALYSIS_Seriessum||
MULTINOMIAL|Gw9iH|ANALYSIS_FUNCNAME_Multinomial|Returns the multinomial coefficient of a set of numbers|B3DFV|ANALYSIS_Multinomial||
LCM|xrRGD|ANALYSIS_FUNCNAME_Lcm|Returns the least common multiple|hZczM|ANALYSIS_Lcm||
GCD|yLkFC|ANALYSIS_FUNCNAME_Gcd|Returns the greatest common divisor|7pTXG|ANALYSIS_Gcd||
ISODD|PjGBW|ANALYSIS_FUNCNAME_Isodd|Returns the value 'true' if the number is odd|Eez7w|ANALYSIS_Isodd||
ISEVEN|8zjDt|ANALYSIS_FUNCNAME_Iseven|Returns the value 'true' if the number is even|euGgs|ANALYSIS_Iseven||
FVSCHEDULE|PAGij|ANALYSIS_FUNCNAME_Fvschedule|Returns the future value of the initial principal after a series of compound interest rates are applied|BkVLD|ANALYSIS_Fvschedule||
COUPNUM|PT2LT|ANALYSIS_FUNCNAME_Coupnum|Returns the number of coupons payable between the settlement and maturity dates|DyfXD|ANALYSIS_Coupnum||
COUPPCD|NxQyv|ANALYSIS_FUNCNAME_Couppcd|Returns the last coupon date preceding the settlement date|2iCqW|ANALYSIS_Couppcd||
COUPDAYBS|9BDGp|ANALYSIS_FUNCNAME_Coupdaybs|Returns the number of days from the beginning of the coupon period to the settlement date|KBBcx|ANALYSIS_Coupdaybs||
COUPDAYSNC|h9Uhw|ANALYSIS_FUNCNAME_Coupdaysnc|Returns the number of days from the settlement date to the next coupon date|FBGxa|ANALYSIS_Coupdaysnc||
COUPDAYS|gF8PM|ANALYSIS_FUNCNAME_Coupdays|Returns the number of days in the coupon period containing the settlement date|cYCWX|ANALYSIS_Coupdays||
COUPNCD|D8crD|ANALYSIS_FUNCNAME_Coupncd|Returns the first coupon date after the settlement date|ZkR4n|ANALYSIS_Coupncd||
INTRATE|8P3JL|ANALYSIS_FUNCNAME_Intrate|Returns the interest rate for a fully invested security|nBr2f|ANALYSIS_Intrate||
XNPV|hn3KX|ANALYSIS_FUNCNAME_Xnpv|Returns the net present value for a non-periodic schedule of payments|vGqGR|ANALYSIS_Xnpv||
XIRR|EKqrE|ANALYSIS_FUNCNAME_Xirr|Returns the internal rate of return for a non-periodic schedule of payments|85tPn|ANALYSIS_Xirr||
ODDLYIELD|bEdTF|ANALYSIS_FUNCNAME_Oddlyield|Returns the yield of a security with an odd last period|Pe9J2|ANALYSIS_Oddlyield||
ODDLPRICE|ZBn5D|ANALYSIS_FUNCNAME_Oddlprice|Returns the price per $100 face value of a security with an odd last period|6buPR|ANALYSIS_Oddlprice||
ODDFYIELD|5sKBo|ANALYSIS_FUNCNAME_Oddfyield|Returns the yield of a security with an odd first period|yHLCB|ANALYSIS_Oddfyield||
ODDFPRICE|Bv7hm|ANALYSIS_FUNCNAME_Oddfprice|Returns the price per $100 face value of a security with an odd first period|gSR5y|ANALYSIS_Oddfprice||
TBILLYIELD|CEeGV|ANALYSIS_FUNCNAME_Tbillyield|Returns the yield for a treasury bill|P4WjL|ANALYSIS_Tbillyield||
TBILLPRICE|sNGGb|ANALYSIS_FUNCNAME_Tbillprice|Returns the price of 100 currency units face value for a treasury bill|e8DVw|ANALYSIS_Tbillprice||
TBILLEQ|fRGcn|ANALYSIS_FUNCNAME_Tbilleq|Returns the bond-equivalent yield for a treasury bill|CmKjR|ANALYSIS_Tbilleq||
YIELDMAT|W5ij7|ANALYSIS_FUNCNAME_Yieldmat|Returns the annual yield of a security that pays interest at maturity|BfjuC|ANALYSIS_Yieldmat||
YIELDDISC|etCXF|ANALYSIS_FUNCNAME_Yielddisc|Returns the annual yield for a discounted security|iuQnm|ANALYSIS_Yielddisc||
YIELD|dMKqD|ANALYSIS_FUNCNAME_Yield|Returns the yield on a security that pays periodic interest|GT2fw|ANALYSIS_Yield||
DOLLARDE|b3c5F|ANALYSIS_FUNCNAME_Dollarde|Converts a price expressed as a fraction into a price expressed as a decimal|hdkeU|ANALYSIS_Dollarde||
DOLLARFR|tCGEv|ANALYSIS_FUNCNAME_Dollarfr|Converts a price expressed as a decimal into a price expressed as a fraction|ACBda|ANALYSIS_Dollarfr||
NOMINAL|dTciF|ANALYSIS_FUNCNAME_Nominal|Returns the annual nominal interest rate|Qfqzn|ANALYSIS_Nominal||
MDURATION|nENuF|ANALYSIS_FUNCNAME_Mduration|Returns the Macaulay modified duration for a security with an assumed par value of 100 currency units|XB3Cf|ANALYSIS_Mduration||
PRICEMAT|AkksF|ANALYSIS_FUNCNAME_Pricemat|Returns the price per 100 currency units face value of a security that pays interest at maturity|Nyx6J|ANALYSIS_Pricemat||
PRICEDISC|PSxKu|ANALYSIS_FUNCNAME_Pricedisc|Returns the price per 100 currency units face value of a discounted security|4cQCF|ANALYSIS_Pricedisc||
PRICE|TrN8j|ANALYSIS_FUNCNAME_Price|Returns the price per 100 currency units face value of a security that pays periodic interest|ZNXE3|ANALYSIS_Price||
CUMIPMT|giE2c|ANALYSIS_FUNCNAME_Cumipmt|Returns the cumulative interest to be paid between two periods|g4KQF|ANALYSIS_Cumipmt||
CUMPRINC|7AYEt|ANALYSIS_FUNCNAME_Cumprinc|Returns the cumulative principal on a loan to be paid between two periods|HrSEQ|ANALYSIS_Cumprinc||
EFFECT|zCxoq|ANALYSIS_FUNCNAME_Effect|Returns the effective annual interest rate|FMyAB|ANALYSIS_Effect||
DURATION|ET83v|ANALYSIS_FUNCNAME_Duration|Returns the annual Macaulay duration of a security with periodic interest payments|Y9aav|ANALYSIS_Duration||
DISC|6HHZX|ANALYSIS_FUNCNAME_Disc|Returns the discount rate for a security|SDipc|ANALYSIS_Disc||
RECEIVED|83LwA|ANALYSIS_FUNCNAME_Received|Returns the amount paid out at maturity for a fully invested security|QHBha|ANALYSIS_Received||
ACCRINTM|xGuEM|ANALYSIS_FUNCNAME_Accrintm|Returns the accrued interest for a security that pays interest at maturity|SPUpd|ANALYSIS_Accrintm||
ACCRINT|z9irP|ANALYSIS_FUNCNAME_Accrint|Returns the accrued interest for a security that pays periodic interest|z5FMG|ANALYSIS_Accrint||
AMORLINC|Vyaq3|ANALYSIS_FUNCNAME_Amorlinc|Returns the prorated linear depreciation of an asset for each accounting period|Tfg5i|ANALYSIS_Amorlinc||
AMORDEGRC|cqNFM|ANALYSIS_FUNCNAME_Amordegrc|Returns the prorated linear depreciation of an asset for each accounting period|AD7tA|ANALYSIS_Amordegrc||
NETWORKDAYS|2s2Ci|ANALYSIS_FUNCNAME_Networkdays|Returns the number of workdays between two dates|FFvBM|ANALYSIS_Networkdays||
EOMONTH|hGiQU|ANALYSIS_FUNCNAME_Eomonth|Returns the serial number of the last day of the month that comes a certain number of months before or after the start date|MEBN5|ANALYSIS_Eomonth||
WEEKNUM|fL5qd|ANALYSIS_FUNCNAME_Weeknum|Returns the number of the calendar week in which the specified date occurs.|KRJDB|ANALYSIS_Weeknum||
EDATE|RnTE8|ANALYSIS_FUNCNAME_Edate|Returns the serial number of the date that is a specified number of months before or after the start date|Au76P|ANALYSIS_Edate||
YEARFRAC|kGmgF|ANALYSIS_FUNCNAME_Yearfrac|Returns the number of years (including fractional part) between two dates|8bZCK|ANALYSIS_Yearfrac||
WORKDAY|rMBDp|ANALYSIS_FUNCNAME_Workday|Returns the serial number of the date before or after a specified number of workdays|vmpEf|ANALYSIS_Workday||
OPT_PROB_INMONEY|46dEf|PRICING_FUNCNAME_OptProbInMoney|Probability that an asset will at maturity end up between two barrier levels, assuming it follows dS/S = mu dt + vol dW (if the last two optional parameters (strike, put/call) are specified, the probability of S_T in [strike, upper barrier] for a call and S_T in [lower barrier, strike] for a put will be returned)|8GTWB|PRICING_FUNCDESC_OptProbInMoney||
OPT_PROB_HIT|RTkVk|PRICING_FUNCNAME_OptProbHit|Probability that an asset hits a barrier assuming it follows dS/S = mu dt + vol dW|HusZF|PRICING_FUNCDESC_OptProbHit||
OPT_TOUCH|Y3VTD|PRICING_FUNCNAME_OptTouch|Pricing of a touch/no-touch option|qGohA|PRICING_FUNCDESC_OptTouch||
OPT_BARRIER|aXoaK|PRICING_FUNCNAME_OptBarrier|Pricing of a barrier option|DCfi6|PRICING_FUNCDESC_OptBarrier||
